area_name,total,number_minorities,largest_groups,area_code
Poulton North,4304,17,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000150
Poulton South,2726,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36000151
Rixton and Woolston,3702,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000152
Stockton Heath,2728,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000153
Westbrook,2449,15,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Chinese']",E36000154
Whittle Hall,4572,16,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Pakistani']",E36000155
Audley,3141,15,"['Asian/Asian British: Indian', 'Asian/Asian British: Pakistani', 'Other ethnic group: Any other ethnic group']",E36000156
Bastwell,2123,14,"['Asian/Asian British: Pakistani', 'Asian/Asian British: Indian', 'Asian/Asian British: Bangladeshi']",E36000157
Beardwood with Lammack,2184,15,"['Asian/Asian British: Indian', 'Asian/Asian British: Pakistani', 'White: Other White']",E36000158
Corporation Park,2234,14,"['Asian/Asian British: Pakistani', 'Asian/Asian British: Indian', 'White: Other White']",E36000159
Earcroft,1949,13,"['White: Other White', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Other Asian']",E36000160
East Rural,826,8,"['White: Irish', 'Asian/Asian British: Indian', 'White: Other White']",E36000161
Ewood,3022,17,"['White: Other White', 'Asian/Asian British: Pakistani', 'White: Irish']",E36000162
Fernhurst,2227,15,"['White: Irish', 'Asian/Asian British: Indian', 'White: Other White']",E36000163
Higher Croft,3127,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000164
Little Harwood,2432,15,"['Asian/Asian British: Indian', 'Asian/Asian British: Pakistani', 'White: Other White']",E36000165
Livesey with Pleasington,2825,14,"['White: Irish', 'White: Other White', 'Asian/Asian British: Indian']",E36000166
Marsh House,2784,16,"['White: Other White', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Chinese']",E36000167
Meadowhead,2465,16,"['White: Irish', 'White: Other White', 'Asian/Asian British: Chinese']",E36000168
Mill Hill,2905,16,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Pakistani']",E36000169
North Turton with Tockholes,1822,15,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: Other Mixed']",E36000170
Queen's Park,2467,14,"['Asian/Asian British: Indian', 'Asian/Asian British: Pakistani', 'White: Other White']",E36000171
Roe Lee,2581,16,"['Asian/Asian British: Indian', 'Asian/Asian British: Pakistani', 'White: Irish']",E36000172
Shadsworth with Whitebirk,3334,17,"['Asian/Asian British: Pakistani', 'Asian/Asian British: Indian', 'White: Other White']",E36000173
Shear Brow,2352,15,"['Asian/Asian British: Indian', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Other Asian']",E36000174
Sudell,3150,16,"['White: Other White', 'Asian/Asian British: Pakistani', 'White: Irish']",E36000175
Sunnyhurst,2680,16,"['White: Other White', 'Asian/Asian British: Pakistani', 'White: Irish']",E36000176
Wensley Fold,2980,16,"['Asian/Asian British: Pakistani', 'Asian/Asian British: Indian', 'White: Other White']",E36000177
Whitehall,1743,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36000178
Anchorsholme,3160,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000179
Bispham,2912,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000180
Bloomfield,3132,17,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'White: Irish']",E36000181
Brunswick,3297,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000182
Claremont,3595,17,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000183
Clifton,3194,15,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36000184
Greenlands,3082,16,"['White: Irish', 'White: Other White', 'Asian/Asian British: Chinese']",E36000185
Hawes Side,3245,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000186
Highfield,2902,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000187
Ingthorpe,3220,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36000188
Layton,3073,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000189
Marton,3015,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36000190
Norbreck,2753,14,"['White: Irish', 'White: Other White', 'Asian/Asian British: Other Asian']",E36000191
Park,3273,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000192
Squires Gate,2741,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000193
Stanley,2991,16,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000194
Talbot,3075,17,"['White: Other White', 'White: Irish', 'Other ethnic group: Any other ethnic group']",E36000195
Tyldesley,2975,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000196
Victoria,3039,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36000197
Warbreck,2776,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000198
Waterloo,2917,16,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000199
Avenue,6117,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Chinese']",E36000200
Beverley,3707,14,"['White: Other White', 'Asian/Asian British: Chinese', 'Black/African/Caribbean/Black British: African']",E36000201
Boothferry,5304,16,"['White: Other White', 'Asian/Asian British: Pakistani', 'Mixed/multiple ethnic group: Other Mixed']",E36000202
Bransholme East,3983,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000203
Bransholme West,3424,15,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Black/African/Caribbean/Black British: African']",E36000204
Bricknell,3443,16,"['White: Other White', 'Asian/Asian British: Chinese', 'White: Irish']",E36000205
Derringham,5392,17,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Black/African/Caribbean/Black British: African']",E36000206
Drypool,6298,17,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: African']",E36000207
Holderness,5411,17,"['White: Other White', 'Mixed/multiple ethnic group: Other Mixed', 'Asian/Asian British: Chinese']",E36000208
Ings,5367,17,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000209
Kings Park,3949,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Chinese']",E36000210
Longhill,5166,16,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000211
Marfleet,5610,15,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000212
Myton,8687,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Other ethnic group: Any other ethnic group']",E36000213
Newington,4742,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36000214
Newland,4895,16,"['White: Other White', 'Asian/Asian British: Chinese', 'Black/African/Caribbean/Black British: African']",E36000215
Orchard Park and Greenwood,5754,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000216
Pickering,5207,17,"['White: Other White', 'Asian/Asian British: Other Asian', 'Black/African/Caribbean/Black British: African']",E36000217
Southcoates East,3383,15,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000218
Southcoates West,3481,15,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36000219
