area_name,total,number_minorities,largest_groups,area_code
Westheath,2182,15,"['Asian/Asian British: Other Asian', 'White: Other White', 'White: Irish']",E36003240
Abbey,2367,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003241
Alamein,3468,16,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black African']",E36003242
Ampfield and Braishfield,916,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003243
Amport,931,5,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36003244
Anna,1969,16,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: African']",E36003245
Blackwater,1986,11,"['White: Other White', 'Asian/Asian British: Indian', 'White: Gypsy or Irish Traveller']",E36003246
Bourne Valley,867,8,"['White: Other White', 'White: Gypsy or Irish Traveller', 'Asian/Asian British: Indian']",E36003247
Broughton and Stockbridge,1987,13,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36003248
Charlton,839,11,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003249
"Chilworth, Nursling and Rownhams",2501,16,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Other Asian']",E36003250
Cupernham,2141,17,"['White: Other White', 'Asian/Asian British: Chinese', 'White: Irish']",E36003251
Dun Valley,883,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36003252
Harewood,917,10,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36003253
Harroway,3145,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003254
Kings Somborne and Michelmersh,1029,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36003255
Millway,3038,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003256
North Baddesley,2902,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003257
Over Wallop,722,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003258
Penton Bellinger,1895,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003259
Romsey Extra,1232,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36003260
St Mary's,3460,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003261
Tadburn,2170,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36003262
Valley Park,2831,17,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Chinese']",E36003263
Winton,3430,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003264
Bishops Waltham,2887,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003265
Boarhunt and Southwick,502,7,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Asian/Asian British: Pakistani']",E36003266
Cheriton and Bishops Sutton,830,9,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'White: Irish']",E36003267
Colden Common and Twyford,2303,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003268
Compton and Otterbourne,1583,13,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003269
Denmead,2727,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36003270
"Droxford, Soberton and Hambledon",841,10,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36003271
Itchen Valley,804,9,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003272
Kings Worthy,1804,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003273
Littleton and Harestock,1397,14,"['White: Other White', 'Asian/Asian British: Other Asian', 'Asian/Asian British: Indian']",E36003274
Olivers Battery and Badger Farm,1763,15,"['White: Other White', 'Asian/Asian British: Other Asian', 'Asian/Asian British: Indian']",E36003275
Owslebury and Curdridge,1492,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003276
Shedfield,1553,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003277
Sparsholt,626,7,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36003278
St Barnabas,2521,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003279
St Bartholomew,3136,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003280
St John and All Saints,2532,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003281
St Luke,2161,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003282
St Michael,2661,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003283
St Paul,2126,16,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Chinese']",E36003284
Swanmore and Newtown,1659,12,"['White: Other White', 'White: Gypsy or Irish Traveller', 'White: Irish']",E36003285
The Alresfords,2761,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36003286
Upper Meon Valley,814,11,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36003287
Whiteley,1280,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003288
Wickham,1866,16,"['White: Other White', 'White: Gypsy or Irish Traveller', 'Asian/Asian British: Indian']",E36003289
Wonston and Micheldever,2236,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003290
Broxbourne,2398,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003291
Bury Green,2576,17,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36003292
Cheshunt Central,3144,17,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36003293
Cheshunt North,3064,16,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36003294
Flamstead End,2673,16,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36003295
Goffs Oak,2996,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003296
Hoddesdon North,2648,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003297
Hoddesdon Town,3367,17,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36003298
Rosedale,1805,15,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36003299
Rye Park,2767,14,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36003300
Theobalds,3017,16,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36003301
Waltham Cross,3163,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Black/African/Caribbean/Black British: Caribbean']",E36003302
Wormley & Turnford,4040,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003303
Adeyfield East,2255,16,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: African']",E36003304
Adeyfield West,2236,17,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36003305
Aldbury and Wigginton,1015,11,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003306
Apsley and Corner Hall,3852,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003307
Ashridge,1077,11,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003308
Bennetts End,2279,17,"['White: Other White', 'Asian/Asian British: Pakistani', 'White: Irish']",E36003309
Berkhamsted Castle,2719,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003310
Berkhamsted East,2426,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003311
Berkhamsted West,2401,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003312
"Bovingdon, Flaunden and Chipperfield",3381,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003313
Boxmoor,3511,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003314
Chaulden and Warners End,3762,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003315
Gadebridge,2315,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003316
Grovehill,3234,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36003317
Hemel Hempstead Town,2619,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36003318
Highfield,2374,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003319
Kings Langley,2135,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003320
Leverstock Green,3590,17,"['Asian/Asian British: Pakistani', 'White: Other White', 'Asian/Asian British: Indian']",E36003321
Nash Mills,1132,16,"['White: Other White', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Indian']",E36003322
Northchurch,1317,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003323
Tring Central,2199,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36003324
Tring East,1281,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36003325
Tring West and Rural,2065,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003326
Watling,2247,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003327
Woodhall Farm,2516,17,"['Black/African/Caribbean/Black British: African', 'White: Other White', 'Asian/Asian British: Indian']",E36003328
Bishop's Stortford All Saints,3023,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003329
Bishop's Stortford Central,4233,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003330
Bishop's Stortford Meads,2587,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003331
Bishop's Stortford Silverleys,2062,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003332
Bishop's Stortford South,3222,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003333
Braughing,1021,7,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003334
Buntingford,2129,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36003335
Datchworth & Aston,975,10,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36003336
Great Amwell,1138,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36003337
Hertford Bengeo,3270,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003338
Hertford Castle,3810,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003339
Hertford Heath,1155,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003340
Hertford Kingsmead,2129,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003341
Hertford Rural North,954,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003342
Hertford Rural South,989,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003343
Hertford Sele,2449,17,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36003344
Hunsdon,1114,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003345
Little Hadham,933,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003346
Much Hadham,1090,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36003347
Mundens and Cottered,979,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36003348
Puckeridge,1103,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003349
Sawbridgeworth,3587,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003350
Stanstead Abbots,1308,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003351
Thundridge & Standon,1205,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003352
Walkern,1130,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36003353
Ware Chadwell,1420,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003354
Ware Christchurch,2331,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003355
Ware St Mary's,2223,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003356
Ware Trinity,2037,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003357
Watton-at-Stone,971,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003358
Aldenham East,1877,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003359
Aldenham West,1895,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003360
Borehamwood Brookmeadow,3173,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003361
Borehamwood Cowley Hill,3485,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003362
Borehamwood Hillside,3738,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003363
Borehamwood Kenilworth,2486,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36003364
Bushey Heath,2762,17,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Other Asian']",E36003365
Bushey North,2591,17,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36003366
Bushey Park,1981,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003367
Bushey St James,3022,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003368
Elstree,1776,17,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36003369
Potters Bar Furzefield,2588,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003370
Potters Bar Oakmere,3040,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003371
Potters Bar Parkfield,3263,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003372
Shenley,2101,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003373
Arbury,1111,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36003374
Baldock East,1215,14,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003375
Baldock Town,3160,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003376
Cadwell,972,13,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36003377
Chesfield,2806,17,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: African']",E36003378
Codicote,1171,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003379
Ermine,1040,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36003380
Hitchin Bearton,3804,17,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: Caribbean']",E36003381
Hitchin Highbury,3445,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003382
Hitchin Oughton,2166,17,"['Black/African/Caribbean/Black British: Caribbean', 'White: Other White', 'White: Irish']",E36003383
Hitchin Priory,1833,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003384
Hitchin Walsworth,3316,17,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: Caribbean']",E36003385
"Hitchwood, Offa and Hoo",2887,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003386
Kimpton,862,11,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003387
Knebworth,2203,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003388
Letchworth East,2511,16,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Other Asian']",E36003389
Letchworth Grange,3195,15,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: Caribbean']",E36003390
Letchworth South East,3016,16,"['Asian/Asian British: Indian', 'White: Other White', 'Black/African/Caribbean/Black British: Caribbean']",E36003391
Letchworth South West,3047,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003392
Letchworth Wilbury,2221,16,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: Caribbean']",E36003393
Royston Heath,2139,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003394
Royston Meridian,2162,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003395
Royston Palace,2305,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003396
Weston and Sandon,839,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36003397
Ashley,3057,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003398
Batchwood,2880,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Bangladeshi']",E36003399
Clarence,2725,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003400
Colney Heath,2282,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003401
Cunningham,2682,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Bangladeshi']",E36003402
Harpenden East,2907,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003403
Harpenden North,2644,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003404
Harpenden South,2639,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003405
Harpenden West,3114,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003406
London Colney,3763,17,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36003407
Marshalswick North,2613,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003408
Marshalswick South,2684,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003409
Park Street,3000,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003410
Redbourn,2534,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003411
Sandridge,2098,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003412
Sopwell,2975,17,"['White: Other White', 'Asian/Asian British: Bangladeshi', 'White: Irish']",E36003413
St Peters,3661,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003414
St Stephen,2593,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003415
Verulam,2707,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003416
Wheathampstead,2582,16,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36003417
Bandley Hill,2694,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36003418
Bedwell,3041,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Other Asian']",E36003419
Chells,2710,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003420
Longmeadow,2434,16,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36003421
Manor,2632,17,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: African']",E36003422
Martins Wood,2632,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003423
Old Town,3485,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003424
Pin Green,2749,17,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36003425
Roebuck,2673,17,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36003426
Shephall,2467,17,"['Black/African/Caribbean/Black British: African', 'White: Other White', 'White: Irish']",E36003427
St Nicholas,2559,16,"['Black/African/Caribbean/Black British: African', 'White: Other White', 'Asian/Asian British: Indian']",E36003428
Symonds Green,2611,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003429
Woodfield,2211,16,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Other Asian']",E36003430
Abbots Langley,1976,15,"['White: Irish', 'White: Other White', 'Asian/Asian British: Indian']",E36003431
Ashridge,1499,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003432
Bedmond & Primrose Hill,1762,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003433
Carpenders Park,2116,17,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36003434
Chorleywood East,1475,16,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Other Asian']",E36003435
Chorleywood West,2184,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003436
Croxley Green,2236,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003437
Croxley Green North,1324,13,"['White: Irish', 'White: Other White', 'Asian/Asian British: Indian']",E36003438
Croxley Green South,1445,17,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36003439
Hayling,1472,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003440
Langleybury,2117,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003441
Leavesden,2168,16,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36003442
Maple Cross & Mill End,2314,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003443
Moor Park & Eastbury,1865,13,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Other Asian']",E36003444
Northwick,2224,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003445
Oxhey Hall,1264,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003446
Penn,1407,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003447
Rickmansworth,2137,14,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003448
Rickmansworth West,1335,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36003449
Sarratt,788,9,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003450
Callowland,3161,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Pakistani']",E36003451
Central,3948,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Other Asian']",E36003452
Holywell,3460,17,"['White: Other White', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Indian']",E36003453
Leggatts,2774,17,"['Asian/Asian British: Pakistani', 'White: Other White', 'Asian/Asian British: Other Asian']",E36003454
Meriden,3229,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003455
Nascot,3173,17,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Other Asian']",E36003456
Oxhey,2777,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003457
Park,2938,16,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Pakistani']",E36003458
Stanborough,2792,17,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36003459
Tudor,2456,17,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36003460
Vicarage,2971,15,"['White: Other White', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Other Asian']",E36003461
Woodside,3002,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003462
Brookmans Park and Little Heath,2224,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003463
Haldens,3005,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003464
Handside,2997,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003465
Hatfield Central,3114,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36003466
Hatfield East,2744,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36003467
Hatfield South,2324,17,"['Black/African/Caribbean/Black British: African', 'White: Other White', 'Asian/Asian British: Indian']",E36003468
Hatfield Villages,2560,17,"['Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian', 'White: Other White']",E36003469
Hatfield West,3261,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36003470
Hollybush,2768,17,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: African']",E36003471
Howlands,2374,17,"['White: Other White', 'Asian/Asian British: Other Asian', 'Black/African/Caribbean/Black British: African']",E36003472
Northaw and Cuffley,2093,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003473
Panshanger,2812,17,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: African']",E36003474
Peartree,3185,17,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36003475
Sherrards,2408,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003476
Welham Green,1638,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003477
Welwyn East,2387,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003478
Welwyn West,1719,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003479
Aylesford Green,1220,15,"['White: Other White', 'Asian/Asian British: Other Asian', 'Asian/Asian British: Indian']",E36003480
Beaver,2336,16,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36003481
Biddenden,1044,13,"['White: Other White', 'White: Gypsy or Irish Traveller', 'White: Irish']",E36003482
Bockhanger,1023,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36003483
Boughton Aluph and Eastwell,1265,16,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: African']",E36003484
Bybrook,1099,15,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36003485
Charing,1071,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36003486
Downs North,1011,13,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36003487
Downs West,958,13,"['White: Irish', 'White: Gypsy or Irish Traveller', 'White: Other White']",E36003488
Godinton,2396,17,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36003489
Great Chart with Singleton North,1470,14,"['White: Other White', 'White: Gypsy or Irish Traveller', 'Black/African/Caribbean/Black British: African']",E36003490
Highfield,960,14,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Other Asian']",E36003491
Isle of Oxney,1083,10,"['White: Other White', 'White: Irish', 'Other ethnic group: Arab']",E36003492
Kennington,904,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003493
Little Burton Farm,1159,15,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Other Asian']",E36003494
Norman,1216,17,"['White: Other White', 'Asian/Asian British: Other Asian', 'Black/African/Caribbean/Black British: African']",E36003495
North Willesborough,2107,15,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Other Asian']",E36003496
Park Farm North,1271,14,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: African']",E36003497
Park Farm South,1095,17,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36003498
Rolvenden and Tenterden West,1059,10,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36003499
Saxon Shore,2010,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36003500
